# Expansion set. Same format as words.txt:
# word | partOfSpeech | English definition | Tagalog translation | Tagalog definition | English example

# ---------------- Verb Tenses ----------------
hands are tied|idiom|Unable to act because of rules|walang magawa|Hindi makakilos dahil sa patakaran|My hands are tied on this.
have a soft spot for|idiom|To have special affection for somebody|may pagkagusto|May natatanging pagmamahal|She has a soft spot for stray cats.
hit the ground running|idiom|To start something with great energy|magsimula nang masigla|Simulan nang may lakas|The new manager hit the ground running.
in a nutshell briefly|idiom|Stated in very few words|sa madaling salita|Sa napakaikling pahayag|In a nutshell, we cannot afford it.
in the long run|idiom|Over an extended period of time|sa katagalan|Sa mahabang panahon|It saves money in the long run.
in the same vein|idiom|In a similar manner or style|sa katulad na paraan|Sa parehong estilo|In the same vein, costs must fall.
jump to conclusions|idiom|To decide too quickly without facts|magmadali sa paghusga|Magpasya nang walang sapat na batayan|Do not jump to conclusions.
keep a low profile|idiom|To avoid attracting attention|magpakababa|Iwasang mapansin|He kept a low profile for months.
keep your options open|idiom|To avoid committing to one choice|magtira ng pagpipilian|Iwasang magpasya kaagad|Keep your options open for now.
know the ropes|idiom|To understand how something works|alam ang gawain|Alam ang paraan ng paggawa|She already knows the ropes.
leave no stone unturned|idiom|To search or try everything possible|maghanap nang lubusan|Subukan ang lahat ng paraan|Police left no stone unturned.
let off steam|idiom|To release anger or energy harmlessly|maglabas ng sama ng loob|Ilabas ang galit nang walang pinsala|Running lets him off steam.
like clockwork|idiom|Working smoothly without problems|walang aberya|Maayos na gumagana|Everything ran like clockwork.
long shot|idiom|Something with little chance of success|malabong tsansa|Bagay na maliit ang tsansa|It is a long shot, but try.
make headway|idiom|To make progress|umusad|Magkaroon ng pag-unlad|We are finally making headway.
miss the point|idiom|To fail to understand the main idea|hindi maintindihan ang punto|Hindi maunawaan ang pangunahing ideya|You have missed the point entirely.
off the top of my head|idiom|Without checking or thinking carefully|sa aking pagkakaalala|Nang hindi tinitingnan|Off the top of my head, about fifty.
on the cards|idiom|Likely to happen|malamang mangyari|Malaki ang tsansang mangyari|A pay rise is on the cards.
on the same wavelength|idiom|Understanding each other easily|magkaintindihan|Madaling magkaunawaan|We are on the same wavelength.
out of the question|idiom|Completely impossible|imposible|Ganap na hindi maaari|A refund is out of the question.
pay lip service|idiom|To say you support something without acting|salita lamang|Sinasabing sumusuporta ngunit walang gawa|They pay lip service to safety.
pick up the pieces|idiom|To restore order after trouble|ayusin ang gulo|Ibalik ang kaayusan matapos ang gulo|She picked up the pieces afterwards.
play devil's advocate|idiom|To argue against for the sake of debate|kontrahin para sa talakayan|Kontrahin upang mapag-usapan|Let me play devil's advocate.
put your foot in it|idiom|To say something embarrassing by accident|makapagsalita ng mali|Makapagsabi ng nakakahiya|I really put my foot in it.
rock the boat|idiom|To cause trouble in a settled situation|manggulo|Gumawa ng gulo sa payapang kalagayan|Do not rock the boat now.
rub salt in the wound|idiom|To make a bad situation feel worse|magdagdag ng sakit|Palalain ang masakit na sitwasyon|Mentioning it rubs salt in the wound.
run its course|idiom|To continue naturally until it ends|matapos nang kusa|Magpatuloy hanggang matapos|Let the illness run its course.
save face|idiom|To avoid public embarrassment|iligtas ang dangal|Iwasan ang kahihiyan sa publiko|He resigned to save face.
second nature|idiom|Something done easily from long practice|likas na|Madaling gawin dahil sa kasanayan|Driving is second nature to her.
set in stone|idiom|Fixed and impossible to change|hindi na mababago|Nakatakda at di-mababago|The date is not set in stone.
sit tight|idiom|To wait patiently without acting|maghintay|Maghintay nang matiyaga|Sit tight until we hear more.
steal the show|idiom|To attract the most attention|maagaw ang atensyon|Makuha ang pinakamaraming pansin|The youngest dancer stole the show.
take it in your stride|idiom|To deal with difficulty calmly|harapin nang kalmado|Harapin ang hirap nang mahinahon|She took the criticism in her stride.
the tip of the iceberg|idiom|A small visible part of a large problem|dulo lamang|Maliit na bahagi ng malaking suliranin|These cases are the tip of the iceberg.
think outside the box|idiom|To think in a new and creative way|mag-isip nang malikhain|Mag-isip sa bagong paraan|We need to think outside the box.
throw light on|idiom|To make something easier to understand|magbigay-linaw|Gawing mas madaling maunawaan|The report throws light on the delay.
turn over a new leaf|idiom|To change your behaviour for the better|magbagong-buhay|Baguhin ang ugali tungo sa mabuti|He turned over a new leaf.
under your belt|idiom|Already achieved and gained|nakamit na|Natamo at naipon na|She has ten years under her belt.
up to scratch|idiom|Of an acceptable standard|sapat ang kalidad|Umaabot sa pamantayan|The work is not up to scratch.
water under the bridge|idiom|Past trouble that no longer matters|lumipas na|Nakaraang gulo na hindi na mahalaga|That is water under the bridge.
weather the storm|idiom|To survive a difficult period|makatawid sa hirap|Makaligtas sa mahirap na panahon|The firm weathered the storm.
with flying colours|idiom|With great success|may tagumpay|Nagtagumpay nang husto|She passed with flying colours.

# ---------------- Proverbs & Sayings ----------------
a chain is only as strong as its weakest link|proverb|A group fails at its weakest point|kasinlakas lamang ng pinakamahina|Nabibigo ang grupo sa pinakamahinang bahagi|Train everyone: a chain is only as strong as its weakest link.
a fool and his money are soon parted|proverb|Careless people quickly lose their wealth|madaling maubos ang pera ng hangal|Mabilis maubos ang salapi ng padalos-dalos|He gambled it all away; a fool and his money are soon parted.
a friend in need is a friend indeed|proverb|True friends help in difficult times|kaibigang tunay ay nakikita sa hirap|Ang tunay na kaibigan ay tumutulong sa gipit|She stayed all night; a friend in need is a friend indeed.
a rolling stone gathers no moss|proverb|People who keep moving gain no attachments|walang naiipon ang laging gumagalaw|Walang naiipon ang taong laging lumilipat|He has lived in six cities; a rolling stone gathers no moss.
absence makes the heart grow fonder|proverb|Being apart increases affection|lalong tumitindi ang pagmamahal sa layo|Lumalalim ang pagmamahal kapag magkalayo|They write daily; absence makes the heart grow fonder.
all good things must come to an end|proverb|Nothing pleasant lasts forever|may hangganan ang lahat ng mabuti|Walang habambuhay na kasiyahan|The holiday is over; all good things must come to an end.
all work and no play makes Jack a dull boy|proverb|Rest is needed as well as work|kailangan ng pahinga at trabaho|Kailangan ang libangan hindi lamang gawain|Take a break; all work and no play makes Jack a dull boy.
an apple a day keeps the doctor away|proverb|Healthy eating prevents illness|malusog na pagkain ay panlaban sa sakit|Ang masustansyang pagkain ay nag-iwas sa sakit|Eat fruit daily; an apple a day keeps the doctor away.
appearances can be deceptive|proverb|Things are not always as they look|mapanlinlang ang anyo|Hindi laging totoo ang nakikita|Check the details; appearances can be deceptive.
beggars cannot be choosers|proverb|Take what you are given when you need help|walang pamimili ang nangangailangan|Hindi makapamili ang humihingi ng tulong|Accept the offer; beggars cannot be choosers.
birds of a feather|proverb|Similar people spend time together|magkakatulad ay nagsasama|Nagsasama ang magkakatulad na tao|They are always together, birds of a feather.
blood is thicker than water|proverb|Family ties are strongest|mas matimbang ang dugo|Mas matibay ang ugnayan ng pamilya|He helped his cousin; blood is thicker than water.
charity begins at home|proverb|Help your own family first|magsimula sa sariling tahanan|Unahin ang sariling pamilya sa pagtulong|Support your parents; charity begins at home.
do not put off till tomorrow what you can do today|proverb|Do things promptly rather than delaying|huwag ipagpaliban ang kayang gawin ngayon|Gawin agad ang kayang gawin|Start now; do not put off till tomorrow what you can do today.
empty vessels make the most noise|proverb|People who know least often talk most|maingay ang walang laman|Madalas maingay ang kakaunti ang alam|Ignore his boasting; empty vessels make the most noise.
familiarity breeds contempt|proverb|Knowing somebody too well reduces respect|nawawalan ng galang sa sobrang pagkakilala|Bumababa ang paggalang sa sobrang lapit|They argue constantly now; familiarity breeds contempt.
fortune favours the bold|proverb|Brave action is often rewarded|pinapaboran ng kapalaran ang matapang|Ginagantimpalaan ang matapang na kilos|Apply for it; fortune favours the bold.
if at first you do not succeed try try again|proverb|Keep trying after failure|subukan muli matapos mabigo|Magpatuloy kahit nabigo|Try once more; if at first you do not succeed, try, try again.
ignorance is bliss|proverb|Not knowing can be more comfortable|kaligayahan ang kamangmangan|Minsan mas payapa ang hindi alam|He never asked; ignorance is bliss.
it takes two to tango|proverb|Both people share responsibility|kailangan ng dalawa|Parehong may pananagutan ang dalawa|Do not blame only her; it takes two to tango.
let bygones be bygones|proverb|Forget past quarrels|kalimutan ang nakaraan|Kalimutan ang lumang alitan|Shake hands and let bygones be bygones.
look on the bright side|proverb|Focus on the positive part|tingnan ang magandang bahagi|Pagtuunan ang positibong bahagi|At least we learned something; look on the bright side.
make hay while the sun shines|proverb|Use a good opportunity while it lasts|samantalahin ang pagkakataon|Gamitin ang pagkakataon habang maaari|Sales are strong, so make hay while the sun shines.
more haste less speed|proverb|Rushing causes mistakes and delay|ang minamadali ay nauuwi sa kabagalan|Ang pagmamadali ay nagdudulot ng mali|Slow down: more haste, less speed.
prevention is better than cure|proverb|Stopping a problem beats fixing it|mas mabuti ang pag-iwas kaysa lunas|Mas mainam ang pag-iwas kaysa gamutin|Service the boiler; prevention is better than cure.
rome was not built in a day|proverb|Important work takes time|hindi natapos sa isang araw ang Roma|Ang mahalagang gawain ay matagal|Be patient; Rome was not built in a day.
the early bird catches the worm early|proverb|Acting first brings advantage|ang maagap ay nakikinabang|Ang unang kumilos ay may kalamangan|Arrive at eight; the early bird catches the worm early.
there is no time like the present|proverb|The best moment to act is now|walang mas mabuti kaysa ngayon|Ngayon ang pinakamainam na panahon|Begin today; there is no time like the present.
two wrongs do not make a right|proverb|Answering a wrong with a wrong helps nobody|hindi nagiging tama ang dalawang mali|Hindi nagiging tama ang paghihiganti|Do not retaliate; two wrongs do not make a right.
you cannot judge a book by its cover|proverb|Do not judge by appearance alone|huwag husgahan sa anyo|Huwag humatol sa panlabas na anyo|Give him a chance; you cannot judge a book by its cover.
you can lead a horse to water but you cannot make it drink|proverb|You cannot force somebody to accept help|hindi mo mapipilit ang ayaw|Hindi mapipilit ang taong ayaw|I offered lessons; you can lead a horse to water but you cannot make it drink.
