# Format: word | partOfSpeech | English definition | Tagalog translation | Tagalog definition | English example
# Sections below become browsable categories in the app (see tools/build_db.py).

# ---------------- Parts of Speech ----------------
principal|noun|The main one, a school head, or a loan's original sum|punong-guro o puhunang halaga|Ang pangunahin, pinuno ng paaralan, o orihinal na halaga ng utang|Interest is charged on the principal.
recession|noun|A period of economic decline|resesyon|Panahon ng pagbagsak ng ekonomiya|Sales fell during the recession.
remittance|noun|Money sent home from abroad|remitans|Perang ipinapadala mula sa ibang bansa|Remittances support many families.
revenue|noun|Income received by a business|kita|Salaping natatanggap ng negosyo|Revenue grew by ten percent.
solvency|noun|The ability to pay your debts|kakayahang magbayad|Kakayahang tugunan ang utang|The audit confirmed solvency.
subsidy|noun|Money given to lower a cost|subsidiya|Perang ibinibigay upang bumaba ang gastos|A fuel subsidy helped farmers.
surplus|noun|An amount left over|labis|Natirang halaga o dami|We ended the year with a surplus.
tariff|noun|A tax on imported goods|taripa|Buwis sa angkat na produkto|New tariffs raised the price.
transaction|noun|An instance of buying or selling|transaksyon|Isang pagbili o pagbebenta|Every transaction is logged.
valuation|noun|An estimate of something's worth|pagtaya ng halaga|Tantiya ng halaga ng bagay|The valuation came in high.
yield|noun|The return produced by an investment|kita ng puhunan|Tubo mula sa puhunan|Bonds offer a steady yield.
audit|noun|An official inspection of accounts|awdit|Opisyal na pagsusuri ng talaan|The audit found no errors.
bankrupt|adjective|Unable to pay what you owe|lugi at walang panagot|Hindi na kayang bayaran ang utang|The firm went bankrupt in May.
bargain|noun|Something bought below its value|bilihing mura|Bagay na nabili nang mas mura|The jacket was a real bargain.
broker|noun|A person who arranges deals for others|ahente|Taong nag-aayos ng kasunduan para sa iba|A broker handled the sale.
currency|noun|The money used in a country|salapi|Perang ginagamit sa isang bansa|Check the currency rate first.
discount|noun|A reduction in the usual price|diskwento|Bawas sa karaniwang presyo|Students get a discount.
expense|noun|Money spent on something|gastos|Perang ginugol sa isang bagay|Travel is our biggest expense.
income|noun|Money received regularly|kita|Perang natatanggap nang regular|Rent is his only income.
insurance|noun|Protection paid for against loss|seguro|Proteksyong binabayaran laban sa pinsala|Insurance covered the damage.
investment|noun|Money put in to earn a return|puhunan|Perang inilagak upang tumubo|The shop was a good investment.
lease|noun|A contract to rent property|kontrata sa upa|Kasunduan sa pag-upa ng ari-arian|The lease runs for three years.
pension|noun|Regular payment after retirement|pensyon|Regular na bayad matapos magretiro|His pension arrives monthly.
profit|noun|Money gained after costs|tubo|Perang natira matapos ang gastos|Profit doubled this year.
loan|noun|Money borrowed to be repaid|utang|Perang hiniram na babayaran|She repaid the loan early.
debt|noun|Money that is owed|pagkakautang|Perang dapat bayaran|They cleared the debt in a year.
savings|noun|Money kept for future use|ipon|Perang itinabi para sa hinaharap|Put ten percent into savings.
tax|noun|Money paid to the government|buwis|Perang ibinabayad sa pamahalaan|File your tax return by April.
wage|noun|Payment for work, usually hourly|sahod|Bayad sa trabaho, karaniwang oras-oras|The minimum wage went up.

# ---------------- Law & Government ----------------
accountability|noun|The duty to answer for your actions|pananagutan|Tungkuling managot sa ginawa|Accountability builds public trust.
advocate|noun|A person who publicly supports a cause|tagapagtaguyod|Taong nagtataguyod ng adhikain|She is an advocate for clean water.
allegation|noun|A claim made without proof yet|paratang|Bintang na wala pang patunay|The allegation is under review.
amendment|noun|A change made to a law or document|susog|Pagbabago sa batas o dokumento|The amendment passed narrowly.
appeal|noun|A request to review a decision|apela|Kahilingang suriin muli ang pasya|They filed an appeal within a week.
arbitration|noun|Settling a dispute outside court|arbitrasyon|Pag-aayos ng alitan sa labas ng korte|Arbitration saved months of delay.
ballot|noun|A paper or process for voting|balota|Papel o proseso ng pagboto|Ballots are counted in public.
bill|noun|A proposed law before parliament|panukalang batas|Iminungkahing batas sa kongreso|The bill reached its second reading.
census|noun|An official count of the population|senso|Opisyal na bilang ng populasyon|The census happens every ten years.
coalition|noun|An alliance of parties or groups|koalisyon|Pagsasanib ng mga partido o grupo|A coalition formed the government.
constituency|noun|The voters an official represents|nasasakupang botante|Mga botanteng kinakatawan ng opisyal|He returned to his constituency.
constitution|noun|The basic law of a country|saligang batas|Pinakapayak na batas ng bansa|The constitution guarantees free speech.
custody|noun|Legal care or detention|kustodiya|Legal na pag-aalaga o pagkakakulong|The child remained in her custody.
defendant|noun|A person accused in a case|nasasakdal|Taong inaakusahan sa kaso|The defendant pleaded not guilty.
democracy|noun|Government by the people|demokrasya|Pamahalaang mula sa mamamayan|Democracy depends on free debate.
diplomacy|noun|Managing relations between countries|diplomasya|Pangangasiwa ng ugnayan ng bansa|Quiet diplomacy resolved it.
electorate|noun|All the people entitled to vote|mga botante|Lahat ng may karapatang bumoto|The electorate wanted change.
enact|verb|To make a proposal into law|isabatas|Gawing batas ang panukala|Parliament enacted the reform.
governance|noun|The way an organisation is run|pamamahala|Paraan ng pagpapatakbo ng samahan|Good governance requires openness.
immunity|noun|Protection from legal action|imunidad|Proteksyon laban sa legal na hakbang|Diplomats enjoy certain immunity.
incumbent|noun|The current holder of an office|kasalukuyang nanunungkulan|Kasalukuyang may hawak ng posisyon|The incumbent won again.
jurisdiction|noun|The area where authority applies|hurisdiksyon|Saklaw ng kapangyarihan|That falls outside our jurisdiction.
legislation|noun|Laws considered as a group|batas|Mga batas na pinagsama-sama|New legislation takes effect in June.
legitimacy|noun|The quality of being lawful and accepted|pagkilala|Kalidad ng pagiging makatwiran at kinikilala|The result gained wide legitimacy.
lobby|verb|To try to influence lawmakers|mangampanya sa mambabatas|Impluwensyahan ang mambabatas|Farmers lobbied for a lower tariff.
municipal|adjective|Relating to a town or city government|pambayan|May kinalaman sa lokal na pamahalaan|Municipal offices close at five.
ordinance|noun|A local law passed by a council|ordinansa|Lokal na batas ng sanggunian|A noise ordinance came into force.
parliament|noun|The body that makes national laws|parlamento|Lupong gumagawa ng batas ng bansa|Parliament sits until July.
petition|noun|A formal request signed by many|petisyon|Pormal na kahilingang nilagdaan ng marami|The petition gathered ten thousand names.
plaintiff|noun|The person who brings a lawsuit|nagsasakdal|Taong naghain ng kaso|The plaintiff sought damages.
prosecution|noun|The legal side that brings charges|pag-uusig|Panig na naghahain ng kaso|The prosecution called two witnesses.
ratify|verb|To give formal approval to an agreement|pagtibayin|Pormal na aprubahan ang kasunduan|The senate ratified the treaty.
referendum|noun|A direct public vote on one question|reperendum|Tuwirang pagboto ng bayan sa isang isyu|A referendum settled the matter.
regulation|noun|A rule made by an authority|regulasyon|Alituntuning gawa ng may kapangyarihan|Safety regulations apply to all sites.
repeal|verb|To cancel a law|pawalang-bisa|Alisin ang bisa ng batas|The old act was repealed.
sanction|noun|A penalty imposed to force compliance|parusa|Parusang ipinapataw para sumunod|Trade sanctions were lifted.
sovereignty|noun|Supreme authority over a territory|soberanya|Ganap na kapangyarihan sa teritoryo|The treaty respects their sovereignty.
statute|noun|A written law passed by a legislature|estatuto|Nakasulat na batas ng lehislatura|The statute dates from 1998.
testimony|noun|A formal statement given as evidence|testimonya|Pormal na pahayag bilang ebidensya|Her testimony lasted two hours.
tribunal|noun|A body appointed to settle disputes|tribunal|Lupong nag-aayos ng alitan|The tribunal ruled in his favour.
verdict|noun|The decision of a court or jury|hatol|Pasya ng hukuman o hurado|The verdict came after four days.
warrant|noun|A legal document authorising an act|warrant|Legal na papel na nagpapahintulot|Police produced a search warrant.
treaty|noun|A formal agreement between states|kasunduan|Pormal na kasunduan ng mga bansa|The treaty ends decades of dispute.
liable|adjective|Legally responsible for something|may pananagutan|Legal na mananagot sa isang bagay|The driver was held liable.
lawful|adjective|Allowed by law|naaayon sa batas|Pinapayagan ng batas|Peaceful protest is lawful.
illicit|adjective|Forbidden by law or rules|labag sa batas|Ipinagbabawal ng batas o tuntunin|Illicit trade harms local shops.
mediate|verb|To help two sides reach agreement|mamagitan|Tumulong upang magkasundo ang dalawa|A neutral party mediated the talks.
enforce|verb|To make people obey a rule|ipatupad|Igiit ang pagsunod sa tuntunin|Councils enforce the parking rules.
comply|verb|To act according to a rule|sumunod|Kumilos ayon sa alituntunin|All vendors must comply.

# ---------------- Science & Nature ----------------
adaptation|noun|A change that helps survival|pag-angkop|Pagbabagong tumutulong mabuhay|Thick fur is an adaptation to cold.
atmosphere|noun|The layer of gases around a planet|atmospera|Saplot na gas sa paligid ng planeta|The atmosphere filters harmful rays.
biodiversity|noun|The variety of living things in an area|biyodibersidad|Iba't ibang uri ng buhay sa isang lugar|Reefs hold enormous biodiversity.
catalyst|noun|Something that speeds up a change|katalista|Bagay na nagpapabilis ng pagbabago|The grant was a catalyst for growth.
climate|noun|The usual weather of a region|klima|Karaniwang panahon sa isang rehiyon|The climate here is hot and humid.
combustion|noun|The process of burning|pagkasunog|Proseso ng pagliyab|Combustion needs oxygen.
conservation|noun|The protection of nature and resources|konserbasyon|Pangangalaga sa kalikasan at yaman|Conservation work saved the forest.
contamination|noun|The making of something impure|kontaminasyon|Pagkasira ng kalinisan ng bagay|Test for water contamination.
deforestation|noun|The clearing of forests|pagkakalbo ng gubat|Pagputol ng mga puno sa kagubatan|Deforestation worsens flooding.
density|noun|The mass contained in a given volume|densidad|Bigat sa loob ng isang sukat|Ice has a lower density than water.
ecosystem|noun|A community of living things and their setting|ekosistema|Samahan ng buhay at kapaligiran nito|A pond is a small ecosystem.
emission|noun|A substance released into the air|paglabas ng usok|Bagay na pinapakawalan sa hangin|Vehicle emissions rose again.
equilibrium|noun|A state of balance|balanse|Kalagayan ng pagkakatimbang|The market found an equilibrium.
erosion|noun|The gradual wearing away of land|pagguho|Unti-unting pagkasira ng lupa|Erosion narrowed the riverbank.
evaporation|noun|The change of liquid into vapour|pagsingaw|Pagbabago ng likido tungong singaw|Evaporation cools the skin.
evolution|noun|Gradual change in living things over time|ebolusyon|Unti-unting pagbabago ng mga nilalang|Evolution explains the beak shapes.
extinction|noun|The dying out of a species|pagkalipol|Ganap na pagkawala ng isang uri|Habitat loss drives extinction.
friction|noun|Resistance when surfaces rub together|alitan|Pagkakaipit ng magkakadikit na ibabaw|Friction slows the wheel.
gravity|noun|The force pulling objects toward each other|grabidad|Puwersang humihila ng bagay|Gravity keeps the moon in orbit.
habitat|noun|The natural home of a species|tirahan ng hayop|Likas na tahanan ng isang uri|Mangroves are a vital habitat.
humidity|noun|The amount of moisture in the air|halumigmig|Dami ng basa sa hangin|High humidity makes it feel hotter.
irrigation|noun|The supplying of water to crops|patubig|Pagbibigay ng tubig sa pananim|Irrigation doubled the harvest.
metabolism|noun|The chemical processes that keep life going|metabolismo|Prosesong kemikal na nagpapanatili ng buhay|Sleep affects your metabolism.
microbe|noun|A living thing too small to see|mikrobyo|Nabubuhay na napakaliit para makita|Soil is full of useful microbes.
migration|noun|The seasonal movement of animals or people|paglilipat|Panahunang paglipat ng hayop o tao|Bird migration begins in October.
